__id__,__ai_agent_last_answer_type__,__ai_agent_rating__,__ai_agent_rating_remark__,__ai_agent_resolution_state__,__ai_agent_source_title__,__ai_agent_source_type__,__ai_agent_content_sources_total_count__,__ai_agent_content_sources_type__,__ai_agent_content_sources_content_sources_content_type__,__ai_agent_content_sources_content_sources_locale__,__ai_agent_content_sources_content_sources_title__,__ai_agent_content_sources_content_sources_url__,__ai_agent_content_sources_content_sources__
207403600616067,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,3,content_source.list,article,en,Arquella Integration 👨‍⚕️📱,/fin-ai-agent/content?content=article&id=287191,NULL
207403600616067,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,3,content_source.list,article,en,Blaucomm Integration,/fin-ai-agent/content?content=article&id=287203,NULL
207403600616067,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,3,content_source.list,article,en,Nexus by GHM Care Integration 👨‍⚕️📱,/fin-ai-agent/content?content=article&id=287239,NULL
207403600606082,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600606400,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,3,content_source.list,article,en,Whzan Integration👨‍⚕️,/fin-ai-agent/content?content=article&id=287226,NULL
207403600606400,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,3,content_source.list,article,en,Nexus by GHM Care Integration 👨‍⚕️📱,/fin-ai-agent/content?content=article&id=287239,NULL
207403600606400,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,3,content_source.list,article,en,e-Reception Integration,/fin-ai-agent/content?content=article&id=287387,NULL
207403600459241,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600606643,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600607469,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600616573,custom_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,3,content_source.list,article,en,Getting started on Nourish: A set-up guide for Superusers,/fin-ai-agent/content?content=article&id=286983,NULL
207403600616573,custom_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,3,content_source.list,article,en,Multi Organisation Access for a Staff Member,/fin-ai-agent/content?content=article&id=287295,NULL
207403600616573,custom_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,3,content_source.list,custom_answer,en,Add / Remove Superusers,/fin-ai-agent/custom-answers/12615,NULL
207403600565228,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600605754,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,2,content_source.list,article,en,Admission Pathway,/fin-ai-agent/content?content=article&id=287201,NULL
207403600605754,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,2,content_source.list,article,en,Protocols,/fin-ai-agent/content?content=article&id=287263,NULL
207403600608113,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,1,content_source.list,article,en,GP Connect - How to setup?,/fin-ai-agent/content?content=article&id=287260,NULL
207403600612015,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,3,content_source.list,article,en,Altra integration,/fin-ai-agent/content?content=article&id=287166,NULL
207403600612015,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,3,content_source.list,article,en,Device Management,/fin-ai-agent/content?content=article&id=287238,NULL
207403600612015,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,3,content_source.list,content_snippet,en,"How can I reactivate two devices with serial numbers DX3GVOJXPLJP and FFWCXPDPPLJT that show ""Nourish not installed"" and ""not authorised to login""?",/fin-ai-agent/content?content=content_snippet&id=76224,NULL
207403600610726,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,2,content_source.list,content_snippet,en,"How can I reactivate two devices with serial numbers DX3GVOJXPLJP and FFWCXPDPPLJT that show ""Nourish not installed"" and ""not authorised to login""?",/fin-ai-agent/content?content=content_snippet&id=76224,NULL
207403600610726,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,2,content_source.list,article,en,Device Management,/fin-ai-agent/content?content=article&id=287238,NULL
207403600611861,ai_answer,NULL,NULL,assumed_resolution,Fin AI Test,workflow,6,content_source.list,article,en,Getting started on Nourish: A set-up guide for Superusers,/fin-ai-agent/content?content=article&id=286983,NULL
207403600611861,ai_answer,NULL,NULL,assumed_resolution,Fin AI Test,workflow,6,content_source.list,article,en,How to manage 'status' for people supported?,/fin-ai-agent/content?content=article&id=287173,NULL
207403600611861,ai_answer,NULL,NULL,assumed_resolution,Fin AI Test,workflow,6,content_source.list,article,en,Admission Pathway,/fin-ai-agent/content?content=article&id=287201,NULL
207403600611861,ai_answer,NULL,NULL,assumed_resolution,Fin AI Test,workflow,6,content_source.list,article,en,Multi Organisation Access for a Staff Member,/fin-ai-agent/content?content=article&id=287295,NULL
207403600611861,ai_answer,NULL,NULL,assumed_resolution,Fin AI Test,workflow,6,content_source.list,article,en,Setting up Roles,/fin-ai-agent/content?content=article&id=287302,NULL
207403600611861,ai_answer,NULL,NULL,assumed_resolution,Fin AI Test,workflow,6,content_source.list,article,en,Transferring care to another service within your organisation,/fin-ai-agent/content?content=article&id=312226,NULL
207403600605659,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600604617,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600608130,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600610356,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600616025,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,1,content_source.list,article,en,"How to set up an Quick Close Tag (QCT, NFC Tag)",/fin-ai-agent/content?content=article&id=287325,NULL
207403600612039,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600608726,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600612073,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600606623,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,1,content_source.list,article,en,"How to set up an Quick Close Tag (QCT, NFC Tag)",/fin-ai-agent/content?content=article&id=287325,NULL
207403600616213,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,1,content_source.list,article,en,Data Retention Report,/fin-ai-agent/content?content=article&id=287391,NULL
207403600604075,ai_answer,NULL,NULL,routed_to_team,Default answer (new),workflow,2,content_source.list,article,en,Using Multiple Rates on a Single Appointment (Split Rates),/fin-ai-agent/content?content=article&id=253680,NULL
207403600604075,ai_answer,NULL,NULL,routed_to_team,Default answer (new),workflow,2,content_source.list,article,en,Adding or Editing Invoice/Payment Groups,/fin-ai-agent/content?content=article&id=288039,NULL
207403600606272,ai_answer,NULL,NULL,routed_to_team,Default answer (new),workflow,2,content_source.list,article,en,How to Generate Invoices and Timesheets,/fin-ai-agent/content?content=article&id=242345,NULL
207403600606272,ai_answer,NULL,NULL,routed_to_team,Default answer (new),workflow,2,content_source.list,article,en,Adding or Editing Invoice/Payment Groups,/fin-ai-agent/content?content=article&id=288039,NULL
207403600606824,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600611689,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600614172,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,3,content_source.list,article,en,Auto Lock App,/fin-ai-agent/content?content=article&id=287204,NULL
207403600614172,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,3,content_source.list,article,en,Device Management,/fin-ai-agent/content?content=article&id=287238,NULL
207403600614172,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,3,content_source.list,article,en,Common issues that relate to Wifi in the organisation (app),/fin-ai-agent/content?content=article&id=287316,NULL
207403600614982,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,1,content_source.list,article,en,Device Management,/fin-ai-agent/content?content=article&id=287238,NULL
207403600599409,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,2,content_source.list,article,en,Setting up a care schedule,/fin-ai-agent/content?content=article&id=287178,NULL
207403600599409,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,2,content_source.list,article,en,How to Save an interaction for Later,/fin-ai-agent/content?content=article&id=287266,NULL
207403600601473,ai_answer,NULL,NULL,routed_to_team,Default answer (new),workflow,2,content_source.list,article,en,Carer/Client Dashboard page,/fin-ai-agent/content?content=article&id=292240,NULL
207403600601473,ai_answer,NULL,NULL,routed_to_team,Default answer (new),workflow,2,content_source.list,article,en,The Call & Care Monitoring Report,/fin-ai-agent/content?content=article&id=335734,NULL
207403600605845,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,3,content_source.list,article,en,Nexus by GHM Care Integration 👨‍⚕️📱,/fin-ai-agent/content?content=article&id=287239,NULL
207403600605845,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,3,content_source.list,article,en,Rescheduling - How to make an interaction appear again after a set time,/fin-ai-agent/content?content=article&id=287327,NULL
207403600605845,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,3,content_source.list,article,en,Setting up a Schedule for an Interaction,/fin-ai-agent/content?content=article&id=287330,NULL
207403600606704,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,2,content_source.list,article,en,How to Unarchive a Care plan Folder/Page,/fin-ai-agent/content?content=article&id=287211,NULL
207403600606704,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,2,content_source.list,article,en,How to view an Archived Care / Support Plan and un-archive if needed,/fin-ai-agent/content?content=article&id=287308,NULL
207403600606117,custom_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,1,content_source.list,custom_answer,en,Pending Data on the App,/fin-ai-agent/custom-answers/12607,NULL
207403600604816,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600612163,ai_answer,NULL,NULL,assumed_resolution,Default answer (new),workflow,3,content_source.list,article,en,Nourish Community – Onboarding Setup,/fin-ai-agent/content?content=article&id=224003,NULL
207403600612163,ai_answer,NULL,NULL,assumed_resolution,Default answer (new),workflow,3,content_source.list,article,en,GP Connect for Nourish Community,/fin-ai-agent/content?content=article&id=287181,NULL
207403600612163,ai_answer,NULL,NULL,assumed_resolution,Default answer (new),workflow,3,content_source.list,article,en,Getting Started with Nourish Community,/fin-ai-agent/content?content=article&id=287194,NULL
207403600608747,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,2,content_source.list,article,en,Device Management,/fin-ai-agent/content?content=article&id=287238,NULL
207403600608747,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,2,content_source.list,article,en,Common issues that relate to Wifi in the organisation (app),/fin-ai-agent/content?content=article&id=287316,NULL
207403600595508,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,2,content_source.list,article,en,How do Assessments Work?,/fin-ai-agent/content?content=article&id=287277,NULL
207403600595508,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,2,content_source.list,article,en,How do I add a new Resident / Client / Service User,/fin-ai-agent/content?content=article&id=287320,NULL
207403600605230,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600606835,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600605627,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600606089,ai_answer,NULL,NULL,assumed_resolution,Fin AI Test,workflow,4,content_source.list,article,en,Admission Pathway,/fin-ai-agent/content?content=article&id=287201,NULL
207403600606089,ai_answer,NULL,NULL,assumed_resolution,Fin AI Test,workflow,4,content_source.list,article,en,Updates to Interactions - 2022,/fin-ai-agent/content?content=article&id=287253,NULL
207403600606089,ai_answer,NULL,NULL,assumed_resolution,Fin AI Test,workflow,4,content_source.list,article,en,Protocols,/fin-ai-agent/content?content=article&id=287263,NULL
207403600606089,ai_answer,NULL,NULL,assumed_resolution,Fin AI Test,workflow,4,content_source.list,article,en,How do Assessments Work?,/fin-ai-agent/content?content=article&id=287277,NULL
207403600616338,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600616045,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,3,content_source.list,article,en,Getting Started (Deputy Manager),/fin-ai-agent/content?content=article&id=287242,NULL
207403600616045,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,3,content_source.list,article,en,How to set warning for an interaction if it isn't completed,/fin-ai-agent/content?content=article&id=287326,NULL
207403600616045,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,3,content_source.list,article,en,How to view and close Warnings,/fin-ai-agent/content?content=article&id=287338,NULL
207403600602163,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600612288,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,2,content_source.list,article,en,Nourish Data sets,/fin-ai-agent/content?content=article&id=287275,NULL
207403600612288,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,2,content_source.list,article,en,Critical Information dashboard,/fin-ai-agent/content?content=article&id=345715,NULL
207403600615159,ai_answer,NULL,NULL,routed_to_team,Default answer (new),workflow,3,content_source.list,article,en,Client/Carer Roster Report,/fin-ai-agent/content?content=article&id=326427,NULL
207403600615159,ai_answer,NULL,NULL,routed_to_team,Default answer (new),workflow,3,content_source.list,article,en,The Call & Care Monitoring Report,/fin-ai-agent/content?content=article&id=335734,NULL
207403600615159,ai_answer,NULL,NULL,routed_to_team,Default answer (new),workflow,3,content_source.list,article,en,The Stats by Carer & Client Report,/fin-ai-agent/content?content=article&id=338486,NULL
207403600607118,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600603831,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600605575,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,2,content_source.list,content_snippet,en,Why are some of our services not showing on the dashboard?,/fin-ai-agent/content?content=content_snippet&id=76243,NULL
207403600605575,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,2,content_source.list,article,en,Amba Integration,/fin-ai-agent/content?content=article&id=287190,NULL
207403600611516,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,2,content_source.list,article,en,Skin Integrity & Wound Management,/fin-ai-agent/content?content=article&id=287193,NULL
207403600611516,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,2,content_source.list,article,en,Managing skin & wound concerns that require attention via the Critical Information Page,/fin-ai-agent/content?content=article&id=389511,NULL
207403600611723,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,2,content_source.list,article,en,Getting started on Nourish: A set-up guide for Superusers,/fin-ai-agent/content?content=article&id=286983,NULL
207403600611723,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,2,content_source.list,article,en,Device Management,/fin-ai-agent/content?content=article&id=287238,NULL
207403600611957,NULL,NULL,NULL,NULL,Fin AI Test,workflow,0,content_source.list,NULL,NULL,NULL,NULL,NULL
207403600610782,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600596700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600600661,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,2,content_source.list,article,en,AD Connect Integration 🕮,/fin-ai-agent/content?content=article&id=287214,NULL
207403600600661,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,2,content_source.list,article,en,Connect to Active Directory via the App Registration method,/fin-ai-agent/content?content=article&id=338568,NULL
207403600608728,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600529456,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600592777,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,3,content_source.list,content_snippet,en,"How can I reactivate two devices with serial numbers DX3GVOJXPLJP and FFWCXPDPPLJT that show ""Nourish not installed"" and ""not authorised to login""?",/fin-ai-agent/content?content=content_snippet&id=76224,NULL
207403600592777,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,3,content_source.list,article,en,Device Management,/fin-ai-agent/content?content=article&id=287238,NULL
207403600592777,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,3,content_source.list,custom_answer,en,Not authorised to login,/fin-ai-agent/custom-answers/12612,NULL
207403600565082,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,4,content_source.list,article,en,Device Management,/fin-ai-agent/content?content=article&id=287238,NULL
207403600565082,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,4,content_source.list,article,en,Care Instructions (Document accessibility),/fin-ai-agent/content?content=article&id=287249,NULL
207403600565082,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,4,content_source.list,article,en,How do I add a Profile Photo for a Resident / Service User,/fin-ai-agent/content?content=article&id=287314,NULL
207403600565082,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,4,content_source.list,content_snippet,en,"Photos upload sideways when the original files are not, how can I fix this issue?",/fin-ai-agent/content?content=content_snippet&id=75212,NULL
207403600601691,NULL,NULL,NULL,NULL,Fin AI Test,workflow,0,content_source.list,NULL,NULL,NULL,NULL,NULL
207403600603673,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,2,content_source.list,content_snippet,en,"Photos upload sideways when the original files are not, how can I fix this issue?",/fin-ai-agent/content?content=content_snippet&id=75212,NULL
207403600601482,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,2,content_source.list,content_snippet,en,"How can I reactivate two devices with serial numbers DX3GVOJXPLJP and FFWCXPDPPLJT that show ""Nourish not installed"" and ""not authorised to login""?",/fin-ai-agent/content?content=content_snippet&id=76224,NULL
207403600601482,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,2,content_source.list,article,en,Device Management,/fin-ai-agent/content?content=article&id=287238,NULL
207403600607213,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600614213,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,3,content_source.list,content_snippet,en,"How can I reactivate two devices with serial numbers DX3GVOJXPLJP and FFWCXPDPPLJT that show ""Nourish not installed"" and ""not authorised to login""?",/fin-ai-agent/content?content=content_snippet&id=76224,NULL
207403600614213,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,3,content_source.list,article,en,Device Management,/fin-ai-agent/content?content=article&id=287238,NULL
207403600614213,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,3,content_source.list,article,en,How to log in to Nourish using Microsoft credentials (OAuth),/fin-ai-agent/content?content=article&id=382905,NULL
207403600606188,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600616546,ai_answer,NULL,NULL,routed_to_team,Default answer (new),workflow,7,content_source.list,article,en,ContrOCC Report Guide – East Sussex County Council,/fin-ai-agent/content?content=article&id=223995,NULL
207403600616546,ai_answer,NULL,NULL,routed_to_team,Default answer (new),workflow,7,content_source.list,article,en,ContrOCC Report Guide – Surrey County Council Export,/fin-ai-agent/content?content=article&id=223996,NULL
207403600616546,ai_answer,NULL,NULL,routed_to_team,Default answer (new),workflow,7,content_source.list,article,en,ContrOCC Report Guides – Leicestershire County Council Exports,/fin-ai-agent/content?content=article&id=223997,NULL
207403600616546,ai_answer,NULL,NULL,routed_to_team,Default answer (new),workflow,7,content_source.list,article,en,ContrOCC Report Guides – Stockton Borough Council Export,/fin-ai-agent/content?content=article&id=223998,NULL
207403600616546,ai_answer,NULL,NULL,routed_to_team,Default answer (new),workflow,7,content_source.list,article,en,Time Off - Day-to-Day Management,/fin-ai-agent/content?content=article&id=227461,NULL
207403600616546,ai_answer,NULL,NULL,routed_to_team,Default answer (new),workflow,7,content_source.list,article,en,Automatic Travel Rates,/fin-ai-agent/content?content=article&id=287841,NULL
207403600616546,ai_answer,NULL,NULL,routed_to_team,Default answer (new),workflow,7,content_source.list,article,en,Carer/Client Dashboard page,/fin-ai-agent/content?content=article&id=292240,NULL
207403600611748,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,2,content_source.list,article,en,How to view an Archived Care / Support Plan and un-archive if needed,/fin-ai-agent/content?content=article&id=287308,NULL
207403600611748,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,2,content_source.list,article,en,How to add / Import a Care / Support Plan and Timeline to a Resident,/fin-ai-agent/content?content=article&id=287321,NULL
207403600608713,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
