id,type_of_care,provider_id,location_id,capacity,region,town,postcode,target_capacity,incident_rate_target,name,slug,organisation_id,organisation,base_url,created_at,updated_at,combined_id,PoolName,SchemaName
441,NULL,NULL,NULL,60,Jayne Holloway - South,Oxted,RH8 9BD,NULL,NULL,Windmill Manor Care Home,windmill-manor-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+windmill-manor-care-home#,2024-03-27 19:16:35.8220000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-441,Prod1,barch
486,NULL,NULL,NULL,75,Sam Humphries - South,Fareham,PO15 5FF,NULL,NULL,Florence Court Care Home,florence-court-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+florence-court-care-home#,2024-03-27 19:16:54.6360000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-486,Prod1,barch
490,NULL,NULL,NULL,67,Lindsay Price - North East,Bridlington,YO15 3NT,NULL,NULL,Mallard Court Care Home,mallard-court-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+mallard-court-care-home#,2024-03-27 19:16:56.4170000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-490,Prod1,barch
531,NULL,NULL,NULL,60,Barbara Ozga - South,Newport,PO30 2EP,NULL,NULL,Orchard House Care Centre,orchard-house-care-centre,4,Barchester,https://barchester.nourishcare.com/barchester+orchard-house-care-centre#,2024-03-27 19:17:14.5830000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-531,Prod1,barch
39,NULL,NULL,NULL,77,Mary-Jane Jekiel - Central,Banbury,OX17 2JL,NULL,NULL,Chacombe Park Care Home,chacombe-park-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+chacombe-park-care-home#,2023-04-03 06:54:10.2880000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-39,Prod1,barch
134,NULL,NULL,NULL,70,Jeff Levine - South,Battle,TN33 0HW,NULL,NULL,Hazel Lodge Care Home,hazel-lodge-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+hazel-lodge-care-home#,2023-10-13 17:38:11.0510000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-134,Prod1,barch
199,NULL,NULL,NULL,70,Clare Mudge - North West,Lichfield,WS13 8JD,NULL,NULL,The Spires,the-spires,4,Barchester,https://barchester.nourishcare.com/barchester+the-spires#,2023-11-28 16:04:37.0270000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-199,Prod1,barch
341,NULL,NULL,NULL,41,Dannie Tsoneva - North East,Washington,NE38 8HZ,NULL,NULL,Washington Grange Care Home,washington-grange-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+washington-grange-care-home#,2024-02-26 16:29:45.1030000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-341,Prod1,barch
412,NULL,NULL,NULL,92,Lindsay Price - North East,Stamford Bridge,YO41 1AJ,NULL,NULL,Stamford Bridge Beaumont,stamford-bridge-beaumont,4,Barchester,https://barchester.nourishcare.com/barchester+stamford-bridge-beaumont#,2024-03-27 19:16:23.8210000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-412,Prod1,barch
510,NULL,NULL,NULL,52,Wayne Hughes - South,Islington,N19 3AY,NULL,NULL,Cheverton Lodge Care Home,cheverton-lodge-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+cheverton-lodge-care-home#,2024-03-27 19:17:05.6920000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-510,Prod1,barch
41,NULL,NULL,NULL,32,Barbara Ozga - South,Wimborne,BH21 2DJ,NULL,NULL,Hyacinth House,hyacinth-house,4,Barchester,https://barchester.nourishcare.com/barchester+hyacinth-house#,2023-06-28 20:28:37.1360000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-41,Prod1,barch
449,NULL,NULL,NULL,88,Mary-Jane Jekiel - Central,Northampton,NN6 8GH,NULL,NULL,Brampton View,brampton-view,4,Barchester,https://barchester.nourishcare.com/barchester+brampton-view#,2024-03-27 19:16:39.0750000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-449,Prod1,barch
202,NULL,NULL,NULL,25,Xin Zhao - Central,Chinnor,OX39 4EB,NULL,NULL,Hempton Field Care Home,hempton-field-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+hempton-field-care-home#,2023-11-28 16:04:40.7170000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-202,Prod1,barch
204,NULL,NULL,NULL,83,Clare Mudge - North West,Dudley,DY1 3EA,NULL,NULL,Broadway Halls Care Home,broadway-halls-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+broadway-halls-care-home#,2023-11-28 16:04:42.2980000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-204,Prod1,barch
422,NULL,NULL,NULL,60,Claire Brewer - Central,Ludlow,SY8 1LS,NULL,NULL,Hagley Place Care Home,hagley-place-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+hagley-place-care-home#,2024-03-27 19:16:28.0270000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-422,Prod1,barch
464,NULL,NULL,NULL,55,Sue Gallagher – Complex Care,Worksop,S81 0NZ,NULL,NULL,Forest Hill Care Home,forest-hill-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+forest-hill-care-home#,2024-03-27 19:16:45.3360000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-464,Prod1,barch
518,NULL,NULL,NULL,106,Wayne Hughes - South,Chalfont St. Peter,SL9 0QQ,NULL,NULL,Chalfont Lodge Care Centre,chalfont-lodge-care-centre,4,Barchester,https://barchester.nourishcare.com/barchester+chalfont-lodge-care-centre#,2024-03-27 19:17:09.1350000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-518,Prod1,barch
229,NULL,NULL,NULL,60,Rebecca Hall - North East,Lincoln,LN1 2ZD,NULL,NULL,Tennyson Wharf,tennyson-wharf,4,Barchester,https://barchester.nourishcare.com/barchester+tennyson-wharf#,2023-11-28 16:05:23.9210000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-229,Prod1,barch
456,NULL,NULL,NULL,47,Wayne Hughes - South,Wembley,HA9 8UU,NULL,NULL,Brook House Care Centre,brook-house-care-centre,4,Barchester,https://barchester.nourishcare.com/barchester+brook-house-care-centre#,2024-03-27 19:16:41.8910000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-456,Prod1,barch
524,NULL,NULL,NULL,57,Melissa Harker - North West,Skipton,BD23 5ET,NULL,NULL,Threshfield Court Care Centre,threshfield-court-care-centre,4,Barchester,https://barchester.nourishcare.com/barchester+threshfield-court-care-centre#,2024-03-27 19:17:11.6150000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-524,Prod1,barch
221,NULL,NULL,NULL,70,Xin Zhao - Central,Wallingford,OX10 9EG,NULL,NULL,Waterside Court Care home,waterside-court-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+waterside-court-care-home#,2023-11-28 16:05:11.4200000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-221,Prod1,barch
236,NULL,NULL,NULL,67,Rebecca Hall - North East,Grantham,NG31 9DN,NULL,NULL,Maple Leaf Lodge Care Home,maple-leaf-lodge-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+maple-leaf-lodge-care-home#,2023-11-28 16:05:34.7810000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-236,Prod1,barch
242,NULL,NULL,NULL,85,Xin Zhao - Central,Cirencester,GL7 5DT,NULL,NULL,Hunters Care Centre,hunters-care-centre,4,Barchester,https://barchester.nourishcare.com/barchester+hunters-care-centre#,2023-11-28 16:05:44.6960000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-242,Prod1,barch
488,NULL,NULL,NULL,47,Isabela Andriuca - Central,Warminster,BA12 9PB,NULL,NULL,Henford House Care Home,henford-house-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+henford-house-care-home#,2024-03-27 19:16:55.4880000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-488,Prod1,barch
241,NULL,NULL,NULL,86,Clare Mudge - North West,Rugby,CV22 6DY,NULL,NULL,Overslade House Care Home,overslade-house-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+overslade-house-care-home#,2023-11-28 16:05:43.0630000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-241,Prod1,barch
340,NULL,NULL,NULL,49,Stella Bolger,Darlington,DL1 1JF,NULL,NULL,Hundens Park Care Home,hundens-park-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+hundens-park-care-home#,2024-02-26 16:29:43.2550000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-340,Prod1,barch
499,NULL,NULL,NULL,80,Jeff Levine - South,Eastbourne,BN23 6JF,NULL,NULL,Mortain Place Care Home,mortain-place-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+mortain-place-care-home#,2024-03-27 19:17:00.5330000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-499,Prod1,barch
501,NULL,NULL,NULL,36,Dannie Tsoneva - North East,Gateshead,NE9 6JE,NULL,NULL,South Chowdene Care Home,south-chowdene-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+south-chowdene-care-home#,2024-03-27 19:17:01.4940000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-501,Prod1,barch
208,NULL,NULL,NULL,56,Rebecca Hall - North East,Bourne,PE10 9UQ,NULL,NULL,Cedars Care Home Bourne,cedars-care-home-bourne,4,Barchester,https://barchester.nourishcare.com/barchester+cedars-care-home-bourne#,2023-11-28 16:04:48.0590000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-208,Prod1,barch
214,NULL,NULL,NULL,121,Michelle Macadangdang - South,Wouldham,ME1 3TR,NULL,NULL,Winchester House Care Home,winchester-house-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+winchester-house-care-home#,2023-11-28 16:04:58.3770000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-214,Prod1,barch
225,NULL,NULL,NULL,0,Mary-Jane Jekiel - Central,Gosmore,SG4 7QH,NULL,NULL,Iris Court,iris-court,4,Barchester,https://barchester.nourishcare.com/barchester+iris-court#,2023-11-28 16:05:17.8230000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-225,Prod1,barch
483,NULL,NULL,NULL,84,Andrea Crowley - Central,Ipswich,IP5 2GA,NULL,NULL,Alice Grange Care Home,alice-grange-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+alice-grange-care-home#,2024-03-27 19:16:53.3640000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-483,Prod1,barch
516,NULL,NULL,NULL,51,Jo Fitzgerald - South,High Wycombe,HP11 2LJ,NULL,NULL,Shelburne Lodge Care Home,shelburne-lodge-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+shelburne-lodge-care-home#,2024-03-27 19:17:08.3520000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-516,Prod1,barch
375,NULL,NULL,NULL,40,Dannie Tsoneva - North East,Gateshead,NE9 7AD,NULL,NULL,Springvale Court Care Home,springvale-court-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+springvale-court-care-home#,2024-03-27 19:14:35.5620000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-375,Prod1,barch
379,NULL,NULL,NULL,60,Dannie Tsoneva - North East,Darlington,DL3 0SW,NULL,NULL,North Park Care Centre,north-park-care-centre,4,Barchester,https://barchester.nourishcare.com/barchester+north-park-care-centre#,2024-03-27 19:16:10.0760000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-379,Prod1,barch
470,NULL,NULL,NULL,58,Margery Dino - Central,Norwich,NR7 9XJ,NULL,NULL,Woodside House Care Home,woodside-house-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+woodside-house-care-home#,2024-03-27 19:16:47.9470000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-470,Prod1,barch
409,NULL,NULL,NULL,56,Rebecca Hall - North East,Wisbech,PE13 3EP,NULL,NULL,Rose Lodge Care Home,rose-lodge-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+rose-lodge-care-home#,2024-03-27 19:16:22.5880000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-409,Prod1,barch
424,NULL,NULL,NULL,68,Barbara Ozga - South,Ferndown,BH22 9EU,NULL,NULL,Kings Park Care Home,kings-park-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+kings-park-care-home#,2024-03-27 19:16:28.8450000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-424,Prod1,barch
393,NULL,NULL,NULL,108,Andrea Crowley - Central,Dagenham,RM10 9HW,NULL,NULL,Park View Care Home,park-view-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+park-view-care-home#,2024-03-27 19:16:15.9090000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-393,Prod1,barch
399,NULL,NULL,NULL,91,Barbara Ozga - South,Yeovil,BA21 3UA,NULL,NULL,West Abbey Care Centre,west-abbey-care-centre,4,Barchester,https://barchester.nourishcare.com/barchester+west-abbey-care-centre#,2024-03-27 19:16:18.4630000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-399,Prod1,barch
436,NULL,NULL,NULL,61,Lindsay Price - North East,York,YO30 5PD,NULL,NULL,Mulberry Court Care Home,mulberry-court-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+mulberry-court-care-home#,2024-03-27 19:16:33.7990000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-436,Prod1,barch
462,NULL,NULL,NULL,43,Jayne Holloway - South,Sydenham,SE26 6BQ,NULL,NULL,Westwood House Care Home,westwood-house-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+westwood-house-care-home#,2024-03-27 19:16:44.3920000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-462,Prod1,barch
474,NULL,NULL,NULL,43,Claire Brewer - Central,Kidderminster,DY11 5RJ,NULL,NULL,Hollyfields Care Home,hollyfields-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+hollyfields-care-home#,2024-03-27 19:16:49.6040000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-474,Prod1,barch
512,NULL,NULL,NULL,60,Wayne Hughes - South,Hampstead,NW2 2LH,NULL,NULL,Magnolia Court Care Home,magnolia-court-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+magnolia-court-care-home#,2024-03-27 19:17:06.6170000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-512,Prod1,barch
215,NULL,NULL,NULL,66,Dannie Tsoneva,Tadcaster,LS24 9PG,NULL,NULL,Highfield Care Home,highfield-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+highfield-care-home#,2023-11-28 16:05:00.1270000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-215,Prod1,barch
219,NULL,NULL,NULL,80,Michelle Macadangdang - South,Rochester,ME1 2BQ,NULL,NULL,Friston House,friston-house,4,Barchester,https://barchester.nourishcare.com/barchester+friston-house#,2023-11-28 16:05:07.8040000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-219,Prod1,barch
384,NULL,NULL,NULL,65,Andrea Crowley - Central,Upminster,RM14 2YP,NULL,NULL,Derham House Care Home,derham-house-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+derham-house-care-home#,2024-03-27 19:16:12.1370000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-384,Prod1,barch
232,NULL,NULL,NULL,60,Rebecca Hall - North East,Peterborough,PE6 8GP,NULL,NULL,Braeburn Lodge,braeburn-lodge,4,Barchester,https://barchester.nourishcare.com/barchester+braeburn-lodge#,2023-11-28 16:05:28.7370000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-232,Prod1,barch
366,NULL,NULL,NULL,34,Sue Gallagher – Complex Care,Billingham,TS23 1DA,NULL,NULL,Briardene,briardene,4,Barchester,https://barchester.nourishcare.com/barchester+briardene#,2024-03-27 19:14:31.6840000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-366,Prod1,barch
392,NULL,NULL,NULL,61,Jane Aitken - North East,Bedlington,NE22 6LA,NULL,NULL,Meadow Park Care Home,meadow-park-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+meadow-park-care-home#,2024-03-27 19:16:15.5090000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-392,Prod1,barch
429,NULL,NULL,NULL,66,Cosmin Lemnaru - South,Exeter,EX1 3ZU,NULL,NULL,Cumberland Grange Care Home,cumberland-grange-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+cumberland-grange-care-home#,2024-03-27 19:16:30.9490000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-429,Prod1,barch
480,NULL,NULL,NULL,66,Melissa Harker,Preston,PR2 9GA,NULL,NULL,Sherwood Court Care Home,sherwood-court-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+sherwood-court-care-home#,2024-03-27 19:16:52.0910000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-480,Prod1,barch
37,NULL,NULL,NULL,68,Sandbox,Southampton,SO30 2ZS,NULL,NULL,Sandbox two,sandbox-two-1,4,Barchester,https://barchester.nourishcare.com/barchester+sandbox-two-1#,2023-04-03 06:53:07.3090000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-37,Prod1,barch
244,NULL,NULL,NULL,64,Clare Mudge - North West,Milton Keynes,MK6 5LS,NULL,NULL,Ashby House Care Home,ashby-house-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+ashby-house-care-home#,2023-11-28 16:05:48.2460000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-244,Prod1,barch
443,NULL,NULL,NULL,60,Isabela Andriuca - Central,Bristol,BS31 3BG,NULL,NULL,Kingfisher Lodge Care Centre,kingfisher-lodge-care-centre,4,Barchester,https://barchester.nourishcare.com/barchester+kingfisher-lodge-care-centre#,2024-03-27 19:16:36.6450000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-443,Prod1,barch
473,NULL,NULL,NULL,61,Mary-Jane Jekiel - Central,Kettering,NN15 6XE,NULL,NULL,Claremont Parkway Care Home,claremont-parkway-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+claremont-parkway-care-home#,2024-03-27 19:16:49.1650000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-473,Prod1,barch
302,NULL,NULL,NULL,9,Sandbox,London,x,NULL,NULL,Training Home F,training-home-f,4,Barchester,https://barchester.nourishcare.com/barchester+training-home-f#,2024-02-11 20:24:53.6330000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-302,Prod1,barch
367,NULL,NULL,NULL,86,Wayne Hughes - South,Harrow Weald,HA3 6UB,NULL,NULL,Wilsmere House Care Centre,wilsmere-house-care-centre,4,Barchester,https://barchester.nourishcare.com/barchester+wilsmere-house-care-centre#,2024-03-27 19:14:32.0740000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-367,Prod1,barch
387,NULL,NULL,NULL,115,Mary-Jane Jekiel - Central,Kettering,NN15 7JZ,NULL,NULL,Elm Bank Care Home,elm-bank-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+elm-bank-care-home#,2024-03-27 19:16:13.3670000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-387,Prod1,barch
536,NULL,NULL,NULL,19,Claire Brewer - Central,Church Stretton,SY6 7AA,NULL,NULL,Field House,field-house,4,Barchester,https://barchester.nourishcare.com/barchester+field-house#,2024-03-27 19:17:16.7290000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-536,Prod1,barch
727,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Stoneham Grove,stoneham-grove,4,Barchester,https://barchester.nourishcare.com/barchester+stoneham-grove#,2024-09-04 05:16:31.3590000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-727,Prod1,barch
217,NULL,NULL,NULL,68,Barbara Ozga - South,West Parley,BH22 8SL,NULL,NULL,Parley Place Care Home,parley-place-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+parley-place-care-home#,2023-11-28 16:05:03.4530000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-217,Prod1,barch
333,NULL,NULL,NULL,57,Jayne Holloway - South,Reigate,RH2 9JB,NULL,NULL,Reigate Beaumont Care Home,reigate-beaumont-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+reigate-beaumont-care-home#,2024-02-26 16:29:33.9800000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-333,Prod1,barch
465,NULL,NULL,NULL,54,Wayne Hughes - South,Stanwell,TW19 7AZ,NULL,NULL,Ashford House Care Centre,ashford-house-care-centre,4,Barchester,https://barchester.nourishcare.com/barchester+ashford-house-care-centre#,2024-03-27 19:16:45.7940000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-465,Prod1,barch
500,NULL,NULL,NULL,120,Jane Aitken - North East,Ruchill,G20 9NU,NULL,NULL,Four Hills Care Home,four-hills-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+four-hills-care-home#,2024-03-27 19:17:01.0180000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-500,Prod1,barch
222,NULL,NULL,NULL,66,Cosmin Lemnaru - South,Falmouth,TR11 2EW,NULL,NULL,Falmouth Court Care Home,falmouth-court-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+falmouth-court-care-home#,2023-11-28 16:05:12.9810000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-222,Prod1,barch
227,NULL,NULL,NULL,0,Angela Bradford - Central,Rayleigh,SS6 9XH,NULL,NULL,Pinetree Care Home,pinetree-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+pinetree-care-home#,2023-11-28 16:05:20.9230000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-227,Prod1,barch
426,NULL,NULL,NULL,28,Kelly Tatton - North West,Macclesfield,SK10 4AP,NULL,NULL,Prestbury Beaumont Care Community,prestbury-beaumont-care-community,4,Barchester,https://barchester.nourishcare.com/barchester+prestbury-beaumont-care-community#,2024-03-27 19:16:29.6280000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-426,Prod1,barch
452,NULL,NULL,NULL,70,Lorraine Disley - North West,Mollington,CH1 6NP,NULL,NULL,Oak Grange Care Home,oak-grange-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+oak-grange-care-home#,2024-03-27 19:16:40.3000000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-452,Prod1,barch
481,NULL,NULL,NULL,60,Andrea Crowley - Central,Hopton On Sea,NR31 9AH,NULL,NULL,Ritson Lodge Care Home,ritson-lodge-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+ritson-lodge-care-home#,2024-03-27 19:16:52.5050000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-481,Prod1,barch
378,NULL,NULL,NULL,54,Melissa Harker,Workington,CA14 3NE,NULL,NULL,Newlands Care Centre,newlands-care-centre,4,Barchester,https://barchester.nourishcare.com/barchester+newlands-care-centre#,2024-03-27 19:16:09.6650000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-378,Prod1,barch
398,NULL,NULL,NULL,55,Margery Dino - Central,Cambridge,CB25 9BX,NULL,NULL,Oaklands Care Home,oaklands-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+oaklands-care-home#,2024-03-27 19:16:18.0410000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-398,Prod1,barch
406,NULL,NULL,NULL,68,Barbara Ozga - South,Poole,BH15 4HY,NULL,NULL,Upton Bay Care Home,upton-bay-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+upton-bay-care-home#,2024-03-27 19:16:21.3150000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-406,Prod1,barch
477,NULL,NULL,NULL,47,Sam Humphries,Eastleigh,SO53 2DU,NULL,NULL,Challoner House Care Home,challoner-house-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+challoner-house-care-home#,2024-03-27 19:16:50.8620000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-477,Prod1,barch
